,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total
India,869,1868,1815,1337,1302,1108,1935,2369,1199,1199,1768,2123,2275,2637,2782,2999,4265,3929,3855,3691,2861,1896,1190,740,886,1403,851,1673,757,1215,983,1201,2031,2743,2214,1198,1475,2281,1644,1884,2898,3610,4396,5367,3330,2928,2782,2892,2118,3470,2847,4167,2846,120104
Indonesia,27,92,5,73,73,4,156,62,124,369,898,790,357,228,100,289,432,264,289,245,202,11,51,212,471,283,379,103,87,163,146,24,63,353,75,33,62,578,246,445,229,255,216,828,1196,436,378,1120,325,234,276,321,68,14745
Iran,1234,1753,1434,2091,2912,5272,4570,5626,3784,533,278,487,541,509,465,548,803,833,478,192,454,1022,432,985,446,290,611,174,377,319,414,522,433,280,119,55,421,329,60,95,95,94,40,13,13,13,413,3,3,3,2,,,42873
Iraq,180,187,627,1846,1425,1125,1136,1059,1782,1359,2242,2573,3261,3369,4535,3965,3381,3464,1897,1490,818,,,,,,,,,,,,,,74,196,303,297,375,388,439,585,500,375,660,1471,1787,943,452,145,4,0,55,50771
Ireland,,14,27,8,6,9,,5,28,27,44,12,3,,11,2,38,,24,,,11,,,41,,,,3,33,0,42,21,,25,5,13,27,19,,4,,,,40,43,43,2,5,36,11,,,682
Israel,1122,1341,891,1959,1174,1624,1939,1261,1326,698,1260,1654,866,487,286,309,1185,1080,582,24,81,1210,1335,716,761,366,108,59,1289,1191,354,116,337,179,846,1135,1125,835,679,156,71,86,127,216,549,688,622,535,494,519,367,476,829,39524
Italy,681,1099,1761,1014,1111,1011,711,517,689,601,475,129,247,306,273,205,198,183,179,196,153,202,184,201,195,327,280,519,56,25,271,238,240,568,450,143,384,467,159,94,102,286,191,71,126,236,750,713,287,177,201,210,236,20327
Jamaica,,1,,13,8,4,1,3,4,,,0,,,,5,3,,,4,,,,,,,,,10,10,,,,,,10,10,13,2,,1,,,1,,2,22,,19,3,10,28,,186
Japan,644,771,670,630,997,1668,1656,960,1078,985,1057,1337,1450,1695,2052,1975,1893,1946,1997,2283,2682,2940,2519,2121,1017,1243,859,830,1476,1244,483,420,431,455,388,372,460,549,987,988,653,299,235,339,329,356,345,434,755,972,923,947,1291,58085
Jordan,130,68,66,87,184,372,337,464,593,279,384,401,1061,786,478,292,250,143,247,59,16,24,,1,5,19,75,77,248,63,136,160,132,281,169,49,52,183,160,234,89,214,175,75,197,231,231,369,184,229,157,67,32,11017
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,72,121,139,20,,47,42,44,82,25,39,58,62,94,141,82,444,252,218,299,230,269,85,4,3034
Kenya,0,26,9,2,28,25,17,58,211,56,119,144,91,20,12,6,26,176,,47,43,14,,,30,,,58,,,12,,,,,,,11,,34,116,13,61,1,17,30,32,16,6,18,71,4,1,1658
Khmer Rouge (Cambodia)*,,2,6,2,2,2,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,10,1,17
Kurdistan Regional Government (Iraq)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2
Kuwait,54,109,30,,5,77,230,490,487,198,35,13,176,288,494,621,168,50,7,134,327,516,896,694,36,635,1189,478,46,198,227,67,23,43,2,12,5,288,5,9,85,113,31,73,692,331,159,114,96,55,66,904,2249,14330
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,3,2,,,,,,,,,4,8,12,1,15,,1,12,72
Laos,32,17,14,43,1,37,21,134,26,,35,54,1,94,26,59,,29,18,,8,,,,,,,42,21,30,7,,,0,,4,,,7,26,,14,19,19,,7,,2,117,27,17,3,,1010
Latvia,,,,,,,,,,,,,,,,,,,,,,,0,8,12,14,0,0,0,4,3,13,3,25,12,4,9,51,46,11,15,27,9,5,5,3,28,30,21,31,10,15,20,433
Lebanon,,7,52,54,41,11,3,8,2,19,37,9,36,93,192,71,,,,,,,40,40,18,42,27,9,8,4,4,,,,,1,,5,1,52,64,1,31,25,6,48,28,50,52,58,40,40,5,1333
Lebanon Palestinian rebels*,,,,,,,,,,,,5,5,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Lesotho,,,,,,,,1,,5,3,,,1,,0,10,,,8,,4,,,,,,,5,,,6,,,1,,1,,,,,,,,,,,1,1,1,,,,48
LF (Lebanon)*,,,,,,,,,,,,,,,9,,,12,52,20,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
Liberia,,0,1,,,,2,,1,,,,,,,,5,7,,12,3,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,0,,,41
Libya,371,540,534,733,1767,1637,1875,3056,4214,3166,2941,3172,2768,1410,731,750,401,184,9,218,11,,,,,,,,,9,,,,,,1,16,16,16,22,37,8,73,116,,,,,,,,,,30798
Libya GNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,19,0,,,21
Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,37,13,6,11,26,188,5,5,307
Lithuania,,,,,,,,,,,,,,,,,,,,,,,70,10,,4,15,,15,5,6,16,13,1,47,10,53,4,27,27,8,1,1,73,2,13,28,7,8,39,97,130,98,828
LRA (Uganda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0
LTTE (Sri Lanka)*,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,1,,1,,,0,,,,,,,,,,,,,,,,,,3
Luxembourg,,,,,1,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,10,10,,1,,,,1,1,,3,88,,0,120
Madagascar,,0,0,,18,6,,,,64,43,0,,8,,6,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,1,,1,,,168
Malawi,,,0,,,,2,6,7,8,14,14,,,1,6,10,1,2,3,10,,,,4,,,,,,,,,,,,,,3,,,,1,2,2,2,0,,,,,,19,117
Malaysia,25,195,112,229,74,85,394,146,72,310,127,56,25,275,543,405,141,5,14,38,,33,13,13,308,843,33,553,39,720,25,26,153,196,73,59,184,502,500,1291,213,5,17,77,73,118,272,196,93,68,57,133,71,10226
Maldives,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,8,,,,,,,,15,,,,5,,,5,,,,,,,3,,,37
Mali,,15,,,,11,89,,,,,91,4,15,13,0,,,2,,1,,,,0,,,9,4,,7,,1,3,,13,,8,3,10,,0,9,6,1,,21,31,25,18,44,36,58,546
Malta,,,0,0,,,,,8,,1,,,,,,,,,,,,13,,,0,1,6,0,,0,0,4,,4,18,,,,,,8,8,,12,10,6,8,,,,,45,151
Marshall Islands,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Mauritania,21,13,,1,5,5,15,29,17,24,,19,16,,0,3,,,,8,16,18,,,16,2,2,8,4,,31,,27,7,,,,,,,10,5,11,,8,1,35,,1,34,,,,411
Mauritius,,0,,,2,,,,,3,,,,,,1,,,,,10,,,8,,,29,1,,,,,,,10,,,,,,,,,,28,,28,19,,,,1,4,143
Mexico,82,48,15,158,61,104,69,39,68,62,75,115,343,116,,8,143,154,97,63,34,40,19,160,134,53,92,485,19,130,215,149,96,20,327,33,75,,23,59,109,224,252,51,84,318,315,209,15,,242,3,,5806
Micronesia,,,,,,,,,,,,,,,,,,,,2,14,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,7,30
MNLF (Philippines)*,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Moldova,,,,,,,,,,,,,,,,,,,,,,,8,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
Mongolia,15,13,8,58,76,190,26,24,42,29,60,72,152,114,110,98,27,36,27,,,,,,,,,,,,,,,,,,,,14,,27,3,78,,,73,,,,17,,,,1386
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,15,,5,1,2,24
Morocco,80,1,,21,198,207,216,408,419,725,467,798,527,394,72,50,31,32,111,126,137,62,17,98,117,28,89,220,,60,125,11,155,12,14,101,47,27,46,39,309,1406,879,62,572,47,287,605,462,48,12,235,352,11559
Mozambique,,,,,,28,33,150,492,111,52,60,64,59,94,73,6,,,,,,,,,,,,,2,,,,1,,,,,,,,0,0,9,16,5,45,,,22,1,16,5,1345
MPLA (Portugal)*,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MTA (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Mujahedin (Afghanistan)*,,,,,,,,,,,,,2,2,7,7,29,59,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138
Myanmar,4,23,4,,,53,10,9,25,19,40,,38,,,,8,,,34,271,232,29,331,97,223,118,231,156,141,16,154,157,100,194,160,175,153,80,62,59,668,395,250,104,246,283,211,192,196,216,64,394,6625
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,4,5,,,21,11,,16,,72,,24,15,3,1,57,9,2,,3,35,,,,,,285
NATO**,14,,,,,,,,,,,,1250,1250,1250,802,,,18,36,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,,12,25,21,70,465,240,240,6286
Nepal,8,8,3,1,2,15,6,,,,,1,,,3,3,,,,1,,,1,,,1,,,,,,11,9,9,34,6,,,1,,,3,,,5,14,8,1,7,36,,0,,195
Netherlands,699,698,662,21,40,96,266,584,699,774,621,757,1243,1333,1173,892,791,614,383,694,273,322,237,140,205,82,203,126,269,278,123,164,247,128,130,86,304,217,140,266,181,119,253,450,8,59,76,36,140,494,575,652,695,20717
New Zealand,168,133,20,19,7,48,7,34,,,,31,62,100,41,9,29,5,61,26,23,42,55,36,16,7,7,309,15,305,,45,17,157,99,10,6,81,3,56,78,28,30,26,84,90,,,6,3,125,7,157,2722
Nicaragua,,5,5,10,,,8,19,13,,,41,67,47,165,87,88,151,63,14,102,1,,,,,,,,,,,,,,,,14,,14,,,,,13,14,86,7,,13,,,,1044
Niger,1,12,,,3,,,,2,57,7,,6,25,3,,3,,,,,14,,,,,,3,,,,,,5,,,,,8,1,,,,12,3,10,0,3,1,5,18,16,26,243
Nigeria,14,12,113,7,24,424,104,89,141,108,474,331,642,41,359,569,211,115,62,15,18,3,58,41,95,2,15,1,,,36,9,6,64,11,,16,62,33,65,189,63,28,30,228,192,50,41,49,18,108,261,54,5697
NLA (Macedonia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,207,,,,,,,,,,,,,,,,,,,,,,228
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
North Korea,629,1572,569,640,934,636,503,314,370,239,417,261,547,509,283,1038,1097,848,853,595,294,197,137,92,34,139,73,9,9,179,18,28,9,8,8,5,5,5,5,4,1,,,,,,,,,,,,,14109
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,27,0,,,11,81,17,112,,,,,0,,,,,,0,1,,,0,,,,,,6,256
North Yemen,,,,,9,9,0,13,14,740,700,149,45,9,98,101,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968
Norway,145,86,68,63,55,49,35,27,24,47,254,435,457,441,337,122,141,198,308,667,369,322,253,181,93,78,151,158,152,155,229,99,90,9,6,14,557,596,603,571,150,607,147,51,16,143,142,352,527,401,427,514,848,12967
NTC (Libya)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
Oman,26,60,11,71,67,181,150,250,81,43,12,72,182,356,120,88,49,40,19,119,60,,,55,145,278,286,158,22,,118,32,39,37,49,178,296,12,72,94,31,21,122,492,719,151,447,782,282,86,85,4,5,7154
OSCE**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1
PAIGC (Portugal)*,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Pakistan,423,553,664,162,225,229,274,264,649,690,854,485,537,777,856,747,280,616,411,962,623,498,352,972,862,365,500,692,699,868,176,412,559,645,465,431,324,694,1073,1192,2231,1146,1024,1105,860,771,830,868,886,733,688,1180,1565,36944
Palau,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,7,,,15
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,5,1,9,,,,,,,,,,,2,,14,5,,,,,,1,,,1,,,,37
Panama,15,18,2,16,,27,6,4,5,,3,4,13,8,0,7,,,23,2,,,2,,,,0,12,,,,,1,,,,,,,7,,,15,36,,,3,15,8,,,4,8,260
Papua New Guinea,,,,,,32,,3,2,,,2,4,,2,,8,12,6,6,4,10,10,,1,,0,7,,,,,,,,,,,,,,,,,3,,,0,10,,,14,,136
Paraguay,0,1,12,0,1,20,3,,9,1,18,5,3,1,3,35,4,,14,,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0,,,,,,2,,5,,176
Peru,35,157,184,458,555,548,372,933,748,639,697,858,271,317,356,213,250,614,240,10,97,107,124,42,175,46,119,373,51,96,18,10,16,22,47,368,193,172,,43,46,68,5,15,149,201,202,64,103,0,28,97,26,11575
Philippines,9,90,52,114,53,132,256,198,143,92,75,39,17,117,39,23,,26,12,19,33,34,43,62,72,28,41,70,64,,,10,5,10,34,12,23,16,10,1,3,63,16,78,12,153,228,278,17,185,348,337,338,4129
PIJ (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0
PKK (Turkiye)*,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,1
PLO (Israel)*,,,,,,,0,0,,0,4,12,14,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
Poland,796,922,848,1044,1064,963,785,924,1112,1127,1090,807,725,529,462,922,1382,1029,899,499,227,76,100,4,74,250,102,1,3,25,148,33,256,347,223,103,439,966,633,191,169,137,223,142,258,140,47,128,57,264,143,74,639,24548
Portugal,370,177,16,16,117,326,64,94,128,5,36,57,184,12,109,154,5,9,90,135,70,1012,19,350,453,20,8,0,16,3,2,19,,29,70,158,220,60,144,370,892,165,42,11,3,1,21,8,19,44,45,6,,6384
PRC (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
Provisional IRA (UK)*,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Qatar,6,16,,,,38,26,55,16,14,57,48,129,468,328,2,2,57,91,10,5,17,63,10,9,10,200,244,302,61,3,,,,,,,27,,286,30,190,335,82,55,520,885,619,581,2048,838,2075,3342,14196
Regional Security System**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,14
Romania,561,474,501,539,683,646,295,349,298,643,523,475,445,284,240,330,455,214,192,275,606,63,185,14,29,2,39,61,170,142,21,24,21,17,285,436,60,97,76,56,107,80,21,20,0,22,177,88,35,13,189,183,126,11887
RPF (Rwanda)*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
RUF (Sierra Leone)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Russia,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,90,,8,25,10,121,184,207,113,127,93,62,5,1,6,129,1219
Rwanda,,0,0,2,1,3,,1,,,,,,4,6,3,2,,2,2,1,2,5,,,,1,2,9,20,14,,,,,,3,20,8,11,,,5,15,14,27,,8,3,1,,58,,248
Saint Kitts and Nevis,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Saint Vincent,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Samoa,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,13
Saudi Arabia,95,10,104,185,378,479,612,951,1020,765,1090,1810,2214,1818,834,1319,2838,2001,775,1382,2043,1033,1118,2358,981,983,1724,2790,2886,1580,84,60,560,160,1163,166,205,227,387,825,1093,1172,930,1526,2743,3389,2947,3920,3276,3484,2491,1739,2272,72994
Senegal,,12,,1,17,,15,41,20,29,,,7,38,4,,14,18,,,,,,,1,6,,,,,,,,,,15,15,12,6,6,4,16,,,7,22,40,47,15,40,22,21,18,527
Serbia,,,,,,,,,,,,,,,,,,,,,,,4,2,2,8,1,13,6,1,1,27,,,,,,,,,16,,0,,,,22,65,3,155,132,116,335,909
Seychelles,,,,,,,,1,,19,6,,2,15,,,10,,1,,0,,,,,,,,,,,,,,,15,,,,,,7,,10,16,,8,,10,,,,,117
Sierra Leone,,,,28,,,1,,2,,42,,,1,3,,,18,,,,,1,,7,14,,16,,12,,,,,,,9,,,,,2,0,1,,1,2,,,,,,,159
Singapore,92,165,177,99,295,255,254,171,50,338,410,167,176,245,83,123,75,277,542,233,522,370,111,170,179,302,165,619,804,308,788,247,232,83,377,542,73,356,1110,1426,962,891,748,755,66,152,636,403,568,489,154,156,361,19350
SLA (Lebanon)*,,,,,,,,,,,,,,,5,7,10,17,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,146,29,208,29,,,,0,,27,,1,4,,0,0,9,9,,2,5,,,,47,34,15,25,,2,589
Slovenia,,,,,,,,,,,,,,,,,,,,,,2,10,22,11,22,20,9,4,19,2,41,2,17,17,3,3,2,,10,40,28,,,1,,,,,,,9,,294
SNA (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
Solomon Islands,,,,,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,26
Somalia,,,21,165,283,128,180,44,57,48,122,97,61,23,15,42,15,,,,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1,2,2,,8,2,2,,1337
South Africa,510,309,291,369,193,226,415,501,383,126,195,119,47,216,125,26,206,19,5,11,11,26,361,244,239,38,38,11,,21,6,18,,,,264,741,914,493,134,178,208,127,1,50,2,,,,,,,30,8446
Southern rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
South Korea,93,235,373,253,450,654,556,1198,376,1349,914,887,677,496,524,764,869,771,1220,1849,1214,921,795,1024,1029,1965,1984,1230,1417,1636,1399,774,470,752,1051,799,1657,1728,1689,796,1297,1568,1076,189,738,256,1038,962,1140,1495,1276,798,408,51076
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,1,2,61,2,10,36,19,8,,,,,8,8,235
South Vietnam,654,970,2538,629,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5143
South Yemen,17,49,112,83,68,12,,8,55,1082,1221,499,41,99,71,52,74,89,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3688
Soviet Union,523,525,795,583,957,771,800,876,803,842,767,804,671,725,914,1004,1379,1533,1611,1201,693,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18907
